index,build,test_index,RATE,SIZE,NTHREADS,BATCH,CAPACITY,LISTS_PER_CORE,MEMPOOL_GPU,PERSISTENT_KERNEL,RX-RATE-PPS,RX-RATE-MBPS,LOSE-RATE,AVG-LAT,run_index
227,local,131,0.1,1024,1,256,256,16,true,true,145309.0,1212.9097728,0.00027038406921831,0.001259168595679,1
228,local,132,100.0,64,4,256,256,16,true,true,,,1.0,,0
229,local,132,100.0,64,4,256,256,16,true,true,,,1.0,,1
230,local,133,0.1,64,4,256,256,16,true,true,,0.0002848,1.0,,0
231,local,133,0.1,64,4,256,256,16,true,true,,,0.99999931203012,,1
232,local,134,100.0,256,4,256,256,16,true,true,,,1.0,,0
233,local,134,100.0,256,4,256,256,16,true,true,,,1.0,,1
234,local,135,0.1,256,4,256,256,16,true,true,,0.0002848,0.99999931190893,,0
235,local,135,0.1,256,4,256,256,16,true,true,,,1.0,,1
236,local,136,100.0,1024,4,256,256,16,true,true,,,1.0,,0
237,local,136,100.0,1024,4,256,256,16,true,true,,,1.0,,1
238,local,137,0.1,1024,4,256,256,16,true,true,,0.0002848,1.0,,0
239,local,137,0.1,1024,4,256,256,16,true,true,,,0.99999931206041,,1
240,local,138,100.0,64,16,256,256,16,true,true,,,1.0,,0
241,local,138,100.0,64,16,256,256,16,true,true,,,1.0,,1
242,local,139,0.1,64,16,256,256,16,true,true,,0.0002848,0.99999931199982,,0
243,local,139,0.1,64,16,256,256,16,true,true,,,1.0,,1
244,local,140,100.0,256,16,256,256,16,true,true,,,1.0,,0
245,local,140,100.0,256,16,256,256,16,true,true,,,1.0,,1
246,local,141,0.1,256,16,256,256,16,true,true,,0.0002848,1.0,,0
247,local,141,0.1,256,16,256,256,16,true,true,,,0.99999931211719,,1
248,local,142,100.0,1024,16,256,256,16,true,true,,,1.0,,0
249,local,142,100.0,1024,16,256,256,16,true,true,,,1.0,,1
250,local,143,0.1,1024,16,256,256,16,true,true,,0.0002848,0.9999993117536,,0
251,local,143,0.1,1024,16,256,256,16,true,true,,,1.0,,1
252,local,144,100.0,64,1,1024,256,16,true,true,5386619.0,3619.8089856,0.89998604644517,0.00069452777777778,0
253,local,144,100.0,64,1,1024,256,16,true,true,5401880.0,3630.0647712,0.89911676327343,0.00068821643518519,1
254,local,145,0.1,64,1,1024,256,16,true,true,145200.0,97.5836544,0.00097150437314575,0.0018872013888889,0
255,local,145,0.1,64,1,1024,256,16,true,true,145248.0,97.6159872,0.00082273953002032,0.0018369760802469,1
256,local,146,100.0,256,1,1024,256,16,true,true,5348894.0,11810.3364096,0.87148140194278,0.0008502824074074101,0
257,local,146,100.0,256,1,1024,256,16,true,true,5289096.0,11678.305104,0.87286417035032,0.00085519135802469,1
258,local,147,0.1,256,1,1024,256,16,true,true,145178.0,320.4176896,0.00086714332020921,0.0018888888888889,0
259,local,147,0.1,256,1,1024,256,16,true,true,145188.0,320.4399744,0.0012361730229487,0.0018264166666667,1
260,local,148,100.0,1024,1,1024,256,16,true,true,5276334.0,44067.6206208,0.53648976773848,0.0011553209876543002,0
261,local,148,100.0,1024,1,1024,256,16,true,true,5289635.0,44178.6880128,0.53265029194935,0.0011399116512346,1
262,local,149,0.1,1024,1,1024,256,16,true,true,145283.0,1212.6890592,0.00018787277778509,0.0019338533950617,0
